,code,name
0,002129,TCL中环
1,002368,太极股份
2,002432,九安医疗
3,300012,华测检测
4,300037,新宙邦
5,600048,保利发展
6,600111,北方稀土
7,600196,复星医药
8,601727,上海电气
9,603456,九洲药业
10,688005,容百科技
11,688396,华润微
12,002183,怡 亚 通
13,300482,万孚生物
14,600782,新钢股份
15,688739,成大生物
16,688321,微芯生物
17,002174,游族网络
18,300027,华谊兄弟
19,688568,中科星图
20,300151,昌红科技
21,300123,亚光科技
22,300409,道氏技术
23,600641,万业企业
24,600550,保变电气
25,603718,海利生物
26,600491,龙元建设
27,300065,海兰信
28,300185,通裕重工
29,688469,芯联集成-U
30,688779,五矿新能
